market,market_label,horizon,observations,score_return_corr,score_return_ols_slope,score_return_hac_t,score_return_hac_p_value,hac_lags,corr_permutation_p_value,positive_score_observations,negative_score_observations,positive_minus_negative_avg_return_pct,positive_minus_negative_welch_t,positive_minus_negative_bootstrap_ci_low_pct,positive_minus_negative_bootstrap_ci_high_pct,risk_on_observations,caution_observations,risk_on_minus_caution_avg_return_pct,risk_on_minus_caution_welch_t,risk_on_minus_caution_hac_t,risk_on_minus_caution_hac_p_value,minimum_directional_bucket_observations,drift_adjusted_observations,drift_adjusted_accuracy_pct,evidence_grade,extreme_score_observations,mild_score_observations,extreme_avg_abs_return_pct,mild_avg_abs_return_pct,extreme_minus_mild_abs_return_pct
sp500,S&P 500,1d,434,0.007748,0.006864,0.130186,0.896419,1,0.865567,112,222,0.099851,0.561505,-0.258508,0.447391,10,158,0.574579,1.202357,1.337105,0.181188,10,312,50.641026,Insufficient,42,166,0.566004,0.823547,-0.257543
sp500,S&P 500,2d,434,0.021957,0.022242,0.426,0.670108,1,0.646677,112,222,0.072226,0.360658,-0.352614,0.458057,10,158,1.041759,1.274347,1.671718,0.09458,10,312,51.602564,Insufficient,42,166,1.02079,1.121147,-0.100357
sp500,S&P 500,3d,434,0.030914,0.042086,0.637,0.524125,1,0.52024,112,222,0.162797,0.620238,-0.318748,0.677621,10,158,1.455267,1.911852,2.807826,0.004988,10,312,53.205128,Insufficient,42,166,1.372516,1.503839,-0.131322
sp500,S&P 500,1w,434,0.02528,0.044385,0.507562,0.61176,1,0.607696,112,222,0.277113,0.837154,-0.378356,0.927616,10,158,1.924168,2.323149,2.550067,0.01077,10,312,52.24359,Insufficient,42,166,1.432634,1.932918,-0.500284
sp500,S&P 500,2w,433,0.035903,0.083629,0.650377,0.515449,1,0.449775,112,222,0.56107,1.490839,-0.174429,1.286358,10,158,2.807441,2.906379,3.330452,0.000867,10,312,51.282051,Insufficient,42,166,2.465636,2.309635,0.156001
sp500,S&P 500,4w,430,0.117738,0.409407,1.702146,0.088728,3,0.012494,112,219,1.527886,2.62374,0.415279,2.685092,10,158,6.15908,4.887218,6.487738,0.0,10,309,50.485437,Insufficient,42,163,3.57259,3.702535,-0.129945
sp500,S&P 500,13w,421,0.158133,0.852724,1.372312,0.169966,12,0.001,112,210,3.678414,4.20448,1.990224,5.343316,10,152,-0.409709,-0.184778,-0.183721,0.854233,10,300,56.0,Insufficient,36,160,7.617548,7.246935,0.370613
sp500,S&P 500,26w,408,0.165342,1.164211,1.224156,0.220893,25,0.001499,109,200,5.241814,4.51378,3.022,7.525669,10,150,2.189076,1.047265,0.970865,0.331616,10,287,55.400697,Insufficient,36,149,10.160607,11.46833,-1.307723
sp500,S&P 500,52w,381,0.286946,3.008557,2.047691,0.04059,51,0.0005,105,179,14.0149,8.715182,11.036769,17.174364,10,145,6.235966,3.708109,1.444023,0.148733,10,262,62.21374,Insufficient,36,129,17.778129,23.707602,-5.929473
nq,NASDAQ-100,1d,456,0.027434,0.029715,0.639242,0.522666,1,0.571214,208,112,0.189132,0.985703,-0.184953,0.592385,88,24,0.274889,0.862537,0.883935,0.376731,24,295,53.898305,Unclear,38,208,1.065479,1.004816,0.060663
nq,NASDAQ-100,2d,456,0.057153,0.072789,1.395629,0.162826,1,0.209395,208,112,0.30023,1.520354,-0.080444,0.69347,88,24,0.327056,0.844774,0.900023,0.368108,24,295,54.915254,Unclear,38,208,1.456503,1.298583,0.157919
nq,NASDAQ-100,3d,456,0.025237,0.04024,0.57107,0.567952,1,0.590705,208,112,0.223052,0.815891,-0.292956,0.735164,88,24,-0.23714,-0.410391,-0.433657,0.664538,24,295,51.525424,Unclear,38,208,1.762457,1.697629,0.064827
nq,NASDAQ-100,1w,456,0.035568,0.074363,0.809327,0.418327,1,0.442779,208,112,0.309971,0.902018,-0.36702,0.968535,88,24,0.012009,0.018901,0.020843,0.983371,24,295,52.881356,Unclear,38,208,2.541708,2.225752,0.315957
nq,NASDAQ-100,2w,455,0.061962,0.175289,1.26162,0.207085,1,0.185907,208,112,0.498153,1.142062,-0.344604,1.346119,88,24,1.354693,1.63984,1.513366,0.130187,24,295,53.559322,Unclear,38,208,3.324299,2.965416,0.358883
nq,NASDAQ-100,4w,452,0.048535,0.202874,0.84494,0.398144,3,0.291354,208,109,0.346033,0.548653,-0.905658,1.523632,88,24,1.649625,1.159447,0.841385,0.400132,24,292,57.191781,Unclear,38,205,4.829801,4.311566,0.518235
nq,NASDAQ-100,13w,443,0.096052,0.657275,1.200037,0.230125,12,0.045477,199,109,0.5883,0.562954,-1.297282,2.652761,88,24,5.065609,2.047194,1.088184,0.276514,24,283,52.29682,Unclear,38,196,10.569486,7.72299,2.846496
nq,NASDAQ-100,26w,430,0.127424,1.183864,1.813721,0.069721,25,0.009995,192,108,1.445729,1.037025,-1.194915,4.094978,85,24,3.033724,1.318424,0.651068,0.515002,24,275,58.909091,Weak,38,191,17.514589,13.216647,4.297943
nq,NASDAQ-100,52w,403,0.152265,2.198677,2.084381,0.037126,51,0.003998,189,92,2.605175,1.296399,-1.451178,6.551668,85,24,6.030428,2.228363,1.408472,0.158991,24,256,56.640625,Weak,38,172,34.75516,24.49841,10.25675
rty,Russell 2000,1d,138,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,2d,138,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,3d,138,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,1w,138,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,2w,137,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,4w,134,,,,,3,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,13w,125,,,,,12,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,26w,112,,,,,25,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,52w,85,,,,,51,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
dow,Dow Jones,1d,456,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
dow,Dow Jones,2d,456,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
dow,Dow Jones,3d,456,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
dow,Dow Jones,1w,456,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
dow,Dow Jones,2w,455,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
dow,Dow Jones,4w,452,,,,,3,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
dow,Dow Jones,13w,443,,,,,12,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
dow,Dow Jones,26w,430,,,,,25,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
dow,Dow Jones,52w,403,,,,,51,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
